"CloseDate","ClosePrice","Ret1D","Var","VarL1","VarL2","VarL3","VarL4","VarL5"
2017-01-30,1.06925,0,0,6.63170240116857e-06,4.27988029731244e-05,3.12705131308811e-06,3.64079476114478e-06,2.98676743062678e-05
2017-01-31,1.079,0.00907721815111659,8.23958893629605e-05,0,6.63170240116857e-06,4.27988029731244e-05,3.12705131308811e-06,3.64079476114478e-06
2017-02-01,1.07515,-0.00357449954673689,1.27770470096222e-05,8.23958893629605e-05,0,6.63170240116857e-06,4.27988029731244e-05,3.12705131308811e-06
2017-02-02,1.08,0.0045008544068677,2.02576903918204e-05,1.27770470096222e-05,8.23958893629605e-05,0,6.63170240116857e-06,4.27988029731244e-05
2017-02-03,1.0779,-0.00194633733068264,3.78822900480883e-06,2.02576903918204e-05,1.27770470096222e-05,8.23958893629605e-05,0,6.63170240116857e-06
2017-02-06,1.0735,-0.00409036546874718,1.67310896679193e-05,3.78822900480883e-06,2.02576903918204e-05,1.27770470096222e-05,8.23958893629605e-05,0
2017-02-07,1.06905,-0.00415393470284615,1.72551735155096e-05,1.67310896679193e-05,3.78822900480883e-06,2.02576903918204e-05,1.27770470096222e-05,8.23958893629605e-05
2017-02-08,1.07,0.000888244839962443,7.88978895719906e-07,1.72551735155096e-05,1.67310896679193e-05,3.78822900480883e-06,2.02576903918204e-05,1.27770470096222e-05
2017-02-09,1.0669,-0.00290140125853637,8.41812926303644e-06,7.88978895719906e-07,1.72551735155096e-05,1.67310896679193e-05,3.78822900480883e-06,2.02576903918204e-05
2017-02-10,1.06365,-0.00305085777930018,9.30773318951641e-06,8.41812926303644e-06,7.88978895719906e-07,1.72551735155096e-05,1.67310896679193e-05,3.78822900480883e-06
2017-02-13,1.0603,-0.00315450248636282,9.95088593646922e-06,9.30773318951641e-06,8.41812926303644e-06,7.88978895719906e-07,1.72551735155096e-05,1.67310896679193e-05
2017-02-14,1.0577,-0.00245514759774527,6.02774972671439e-06,9.95088593646922e-06,9.30773318951641e-06,8.41812926303644e-06,7.88978895719906e-07,1.72551735155096e-05
2017-02-15,1.05855,0.000803307780941766,6.45303390921584e-07,6.02774972671439e-06,9.95088593646922e-06,9.30773318951641e-06,8.41812926303644e-06,7.88978895719906e-07
2017-02-16,1.0671,0.00804464150757011,6.47162569853199e-05,6.45303390921584e-07,6.02774972671439e-06,9.95088593646922e-06,9.30773318951641e-06,8.41812926303644e-06
2017-02-17,1.06245,-0.00436712675477794,1.90717960922973e-05,6.47162569853199e-05,6.45303390921584e-07,6.02774972671439e-06,9.95088593646922e-06,9.30773318951641e-06
2017-02-20,1.06215,-0.000282406101848626,7.97532063613363e-08,1.90717960922973e-05,6.47162569853199e-05,6.45303390921584e-07,6.02774972671439e-06,9.95088593646922e-06
2017-02-21,1.0538,-0.00789247699070711,6.22911930488411e-05,7.97532063613363e-08,1.90717960922973e-05,6.47162569853199e-05,6.45303390921584e-07,6.02774972671439e-06
2017-02-22,1.0538,0,0,6.22911930488411e-05,7.97532063613363e-08,1.90717960922973e-05,6.47162569853199e-05,6.45303390921584e-07
2017-02-23,1.05775,0.00374133182499135,1.39975638246931e-05,0,6.22911930488411e-05,7.97532063613363e-08,1.90717960922973e-05,6.47162569853199e-05
2017-02-24,1.05785,9.45358291496168e-05,8.93702299300553e-09,1.39975638246931e-05,0,6.22911930488411e-05,7.97532063613363e-08,1.90717960922973e-05
2017-02-27,1.0621,0.00400953389816754,1.60763620805546e-05,8.93702299300553e-09,1.39975638246931e-05,0,6.22911930488411e-05,7.97532063613363e-08
2017-02-28,1.0616,-0.000470876309496132,2.21724498844697e-07,1.60763620805546e-05,8.93702299300553e-09,1.39975638246931e-05,0,6.22911930488411e-05
2017-03-01,1.05625,-0.00505230434661433,2.5525779210818e-05,2.21724498844697e-07,1.60763620805546e-05,8.93702299300553e-09,1.39975638246931e-05,0
2017-03-02,1.0521,-0.00393673285714137,1.54978655884965e-05,2.5525779210818e-05,2.21724498844697e-07,1.60763620805546e-05,8.93702299300553e-09,1.39975638246931e-05
2017-03-03,1.0547,0.00246819946832637,6.09200861544657e-06,1.54978655884965e-05,2.5525779210818e-05,2.21724498844697e-07,1.60763620805546e-05,8.93702299300553e-09
2017-03-06,1.05865,0.00373814521937688,1.39737296811502e-05,6.09200861544657e-06,1.54978655884965e-05,2.5525779210818e-05,2.21724498844697e-07,1.60763620805546e-05
2017-03-07,1.05765,-0.000945045668786136,8.93111316091435e-07,1.39737296811502e-05,6.09200861544657e-06,1.54978655884965e-05,2.5525779210818e-05,2.21724498844697e-07
2017-03-08,1.0548,-0.00269829035402767,7.28077083463879e-06,8.93111316091435e-07,1.39737296811502e-05,6.09200861544657e-06,1.54978655884965e-05,2.5525779210818e-05
2017-03-09,1.05755,0.00260373664745194,6.77944452928428e-06,7.28077083463879e-06,8.93111316091435e-07,1.39737296811502e-05,6.09200861544657e-06,1.54978655884965e-05
2017-03-10,1.06655,0.00847422801124309,7.1812540386537e-05,6.77944452928428e-06,7.28077083463879e-06,8.93111316091435e-07,1.39737296811502e-05,6.09200861544657e-06
2017-03-13,1.06655,0,0,7.1812540386537e-05,6.77944452928428e-06,7.28077083463879e-06,8.93111316091435e-07,1.39737296811502e-05
2017-03-14,1.06415,-0.00225278172901391,5.07502551857892e-06,0,7.1812540386537e-05,6.77944452928428e-06,7.28077083463879e-06,8.93111316091435e-07
2017-03-15,1.0628,-0.0012694235231543,1.61143608113747e-06,5.07502551857892e-06,0,7.1812540386537e-05,6.77944452928428e-06,7.28077083463879e-06
2017-03-16,1.0737,0.0102036925544315,0.000104115341745361,1.61143608113747e-06,5.07502551857892e-06,0,7.1812540386537e-05,6.77944452928428e-06
2017-03-17,1.0746,0.000837871854631189,7.02029244783109e-07,0.000104115341745361,1.61143608113747e-06,5.07502551857892e-06,0,7.1812540386537e-05
2017-03-20,1.0743,-0.000279212622224356,7.79596884094011e-08,7.02029244783109e-07,0.000104115341745361,1.61143608113747e-06,5.07502551857892e-06,0
